"participant_id","reward_level","proportion_hr"
"1","2",0.25
"1","4",0.708333333333333
"1","6",0.958333333333333
"1","8",0.916666666666667
"1","10",0.916666666666667
"2","2",0.583333333333333
"2","4",0.75
"2","6",0.75
"2","8",0.958333333333333
"2","10",1
"3","2",0.833333333333333
"3","4",0.958333333333333
"3","6",1
"3","8",1
"3","10",1
"4","2",0.375
"4","4",0.625
"4","6",0.958333333333333
"4","8",1
"4","10",1
"5","2",0.583333333333333
"5","4",0.708333333333333
"5","6",0.75
"5","8",0.958333333333333
"5","10",1
"6","2",0.5
"6","4",0.625
"6","6",0.625
"6","8",0.833333333333333
"6","10",0.916666666666667
"7","2",0.375
"7","4",0.625
"7","6",0.833333333333333
"7","8",0.833333333333333
"7","10",0.916666666666667
"8","2",0.25
"8","4",0.541666666666667
"8","6",0.916666666666667
"8","8",1
"8","10",1
"9","2",0.583333333333333
"9","4",0.541666666666667
"9","6",0.75
"9","8",0.958333333333333
"9","10",0.958333333333333
"10","2",0.541666666666667
"10","4",0.75
"10","6",0.791666666666667
"10","8",0.875
"10","10",0.916666666666667
"11","2",0.625
"11","4",0.791666666666667
"11","6",0.916666666666667
"11","8",1
"11","10",1
"12","2",0.708333333333333
"12","4",0.958333333333333
"12","6",0.958333333333333
"12","8",1
"12","10",1
"13","2",0.291666666666667
"13","4",0.708333333333333
"13","6",1
"13","8",1
"13","10",1
"32","2",0.541666666666667
"32","4",0.916666666666667
"32","6",1
"32","8",1
"32","10",1
"34","2",0.333333333333333
"34","4",0.75
"34","6",0.916666666666667
"34","8",1
"34","10",1
"35","2",0.791666666666667
"35","4",1
"35","6",1
"35","8",1
"35","10",1
"36","2",0.541666666666667
"36","4",0.833333333333333
"36","6",0.958333333333333
"36","8",1
"36","10",1
"37","2",0.583333333333333
"37","4",0.625
"37","6",0.708333333333333
"37","8",0.916666666666667
"37","10",0.958333333333333
"38","2",0.416666666666667
"38","4",0.75
"38","6",0.75
"38","8",0.916666666666667
"38","10",0.958333333333333
"40","2",0.666666666666667
"40","4",0.833333333333333
"40","6",0.833333333333333
"40","8",0.916666666666667
"40","10",0.958333333333333
"41","2",0.458333333333333
"41","4",0.833333333333333
"41","6",0.958333333333333
"41","8",1
"41","10",1
"42","2",0.708333333333333
"42","4",1
"42","6",1
"42","8",1
"42","10",1
"43","2",0.333333333333333
"43","4",0.541666666666667
"43","6",0.75
"43","8",0.958333333333333
"43","10",1
"44","2",0.541666666666667
"44","4",0.666666666666667
"44","6",0.75
"44","8",0.875
"44","10",0.916666666666667
"45","2",0.375
"45","4",0.791666666666667
"45","6",0.958333333333333
"45","8",1
"45","10",1
"46","2",0.375
"46","4",0.541666666666667
"46","6",0.708333333333333
"46","8",0.916666666666667
"46","10",1
